Itemno,Whse,Bin,Onhand,Oncom,Aano
11180-3060,1,A1021X,18,0,0
11180-60,1,A1012X,2,0,0
11240-30,1,A1021X,13,0,0
11240-3060,1,A1021X,11,0,0
12-152789,1,A15J4X,5,0,0
12-152796,1,SL02A1,10,0,9295455
12-152804,1,AONF09,4,0,0
12-A07S0821,1,AONF10,5,0,0
12-A07S0913,1,AONF17,5,0,0
12-A09S0821,1,AONF11,10,0,0
12-A09S1045,1,AONF12,12,1,0
12-A36S1048,1,A15D2X,2,0,102863496
12-A37S0522,1,A15E3X,1,0,0
12-A37S05638,1,SL01A1,18,0,64866636
12-B02G0405,1,AONF11,19,3,0
12-B02G0405J,1,AONF18,19,0,0
12-B02G0512,2,10R07A,1,0,107143377
12-B02G0512,2,08R01C,10,0,25656459
12-B02G0512,2,08R14D,13,0,29949291
12-B02G0512,2,08R06D,17,1,83359258
12-B07S0824,X-W,X-STG,1,1,0
12-B07S0824,1,A15M4X,1,0,0
12-B07S1042,1,A15E2X,1,0,0
12-B07S1042,2,07R02A,1,0,102863496
12-B07S1042,2,07L12B,3,0,112195263
12-B09S0551,1,A15E2X,1,0,0
12-B09S1046A,X-W,X-STG,0,0,0
12-B09S1046A,1,AONF10,12,1,0
12-B13S0817,1,A15J3X,1,0,0
12-B13S0817,2,05L24A,5,0,0
12-B13S0823,2,08R06A,7,0,0
12-B13S0921A,1,A15H3X,1,0,0
12-B19G0921-10,1,AONF06,11,0,0
12-B19G0921-16,2,10R08A,7,0,0
12-B19G0921-19,2,01R16A,7,0,0
12-B19G0921-9,2,10R08A,7,0,0
12-B19R0551,1,MR12A1,1,0,47290652
12-B19R0551,2,10R07A,2,0,0
12-B19R0923,1,A15J1X,1,0,0
12-B36S0817A,1,A15E2X,2,0,0
12-B36S0823A,1,A15E3X,2,0,0
12-B36S1046,1,A15H3X,4,0,0
12-B36S1205,1,A15J2X,10,0,0
12-B36S1206,1,A15E2X,1,0,0
12-B39S0551,1,A15G5X,4,0,0
12-B39S0551,1,A15E2X,7,0,0
12-B43R35A,1,AONF07,19,1,0
12-B43R35B,1,AONF06,38,0,0
12-B50G0116,2,08R01C,13,0,0
12-B50G1041,2,10R07A,4,0,0
12-B62S0930,X-W,X-STG,1,1,0
12-B62S0930,1,A15K5X,4,0,0
12-B62S0930,1,AONF07,19,0,0
12-B62S0930,1,AONF30,50,0,0
12-B62S0930,2,06R11A,1,0,0
12-B68G0118,1,AONF05,5,0,0
12-B68G0536,X-W,X-STG,3,2,0
12-B68G0536,1,AONF09,0,0,0
12-B68G0551,X-W,X-STG,5,5,0
12-B68G0551,1,AONF30,0,0,0
12-B68G0832,1,AONF30,2,0,0
12-B68G0833,1,AONF30,15,0,0
12-C08S0453,1,A15I2X,4,0,0
12-C08S0551,1,AONF01,7,2,0
12-C08S0817B,1,A15K1X,2,0,0
12-C08S0839,1,A15G1X,2,1,0
12-C08S0839,1,AONF30,26,0,0
12-C08S69B,1,AONF30,47,0,0
12-C08S69B,1,AONF01,49,0,0
12-C08S83,1,A15F1X,1,0,0
12-C51S0804,1,A15F2X,2,0,0
12-C52S0107,X-W,X-STG,1,1,0
12-C52S0107,1,AONF04,1,0,0
12-C52S0552,2,08R11B,3,0,0
12-C52S78,1,A15D2X,1,0,0
12-CAB62S0930,1,AONF30,16,0,0
12-CAB62S0930,1,AONF01,28,0,0
12-CAD02G0452,1,A15I2X,1,0,0
12-CT005,2,08R23C,45,0,0
12-CT009,2,08R01B,2,0,0
12-CT012,1,A15J1X,1,0,0
12-CT040,2,01L09A,1,0,19070973
12-CT057,1,AONF07,18,0,0
12-CT093,1,A15H5X,6,0,0
12-CT093,1,AONF03,28,0,0
12-CT093,1,AONF30,55,0,0
12-CV266-LED-B2B,X-W,X-STG,0,0,0
12-CV266-LED-B2B,1,A12C2X,7,0,0
12-CV266-LED-B2B,1,A14J5X,145,0,0
12-CV533-B2B,1,A11G3X,3,2,0
12-CV533-B2B,1,A14N6X,21,0,0
12-D02G0405,X-W,X-STG,0,0,0
12-D02G0405,1,AONF05,1,1,0
12-D02G0405,2,08L24B,18,0,0
12-D02S0551,1,AONF30,19,0,0
12-D07S0452,1,A15G3X,1,0,0
12-D3030BR,1,A15A3X,3,0,0
12-D36S0552,1,A15I3X,10,0,0
12-D36S0552,1,A15J5X,11,0,0
12-D37S1205,1,A15H2X,3,0,0
12-D38S0101A,1,A15E3X,5,0,0
12-D38S0106,1,A15C3X,2,0,0
12-D38S0403,1,A15A4X,4,0,0
12-D50G1041,2,08L24B,23,0,0
12-DG209-B2B,X-W,X-STG,0,0,0
12-DG209-B2B,1,A12A1X,11,4,0
12-DG209-B2B,1,A14O5X,12,0,0
12-FD576-B2B,X-W,X-STG,1,1,0
12-FD576-B2B,1,A12D2X,4,1,0
12-FD576-B2B,1,A11D5X,6,0,0
12-H3214BR,1,AONF12,30,0,0
12-HD031-B2B,X-W,X-STG,1,1,0
12-HD031-B2B,1,A12D2X,1,0,0
12-HT005,1,AONF12,13,0,0
12-HT005,1,AONF30,24,0,0
12-HT009,2,08R22B,14,0,0
12-HT015,1,A15C2X,5,0,0
12-HT015,1,AONF30,27,0,0
12-HT027,2,07L11B,1,0,44015031
12-HT027,2,08R08D,7,0,35251987
12-HT027,2,08R10D,9,0,7810939
12-HT027,2,08R09D,13,0,15586652
12-HT027,2,08R11C,17,0,86043910
12-HT027,2,08R11D,36,0,79766220
12-HT057,2,10R05A,4,0,0
12-HT093,1,A15K1X,3,0,0
12-HT093,1,A15K6X,9,0,0
12-HT096,1,AONF07,4,0,0
